1.aberration, noun 
1.aberration," deviating from the right path or usual course of action; a mental disorder, especially of a minor or temporary nature. "
1.aberration,"We were convinced that Ed’s poor test marks were an aberration, and that he would do better the next time. "
2.Belittle, verb 
2.Belittle, to make something seem less important. 
2.Belittle,The purpose of much campaign oratory is to belittle your opponent’s record. 
3.cache, noun 
3.cache, a hiding place; something hidden in a hiding place. 
3.cache,Police searched in vain for the cache of jewels which the thieves had skillfully concealed. 
4.Dearth, noun 
4.Dearth, shortage. 
4.Dearth,The dearth of citrus fruits led to a host of illnesses. 
5.ebb, verb 
5.ebb, to decline. 
5.ebb,Investors watched their fortunes ebb as the stock market plunged to a new low. 
6.facilitate, verb 
6.facilitate, to make easy; to bring about. 
6.facilitate,"To facilitate our move, the company sent a crew to crate all of the furniture. "
7.galvanize, verb 
7.galvanize, to arouse suddenly; to startle. 
7.galvanize,It took a mishap at Chernobyl to galvanize the peace movement into protesting vigorously. 
8.hackneyed, adjective 
8.hackneyed, used too often; trite; commonplace. 
8.hackneyed,Creative writers cringe when they hear egregiously hackneyed expressions. 
9.Iconoclast, noun 
9.Iconoclast, a person who attacks cherished beliefs or established institutions. 
9.Iconoclast,"When she shook up the conservative firm, Gloria earned the reputation of being an iconoclast. "
10.jargon, noun 
10.jargon, the specialized vocabulary of members of a group. 
10.jargon,The club members adopted a jargon that made them feel exclusive. 
11.kindle, verb 
11.kindle, to ignite; to arouse or inspire; to catch fire; to become aroused. 
11.kindle,"With the wind blowing furiously, Ted found it difficult to kindle a fire. "
12.labyrinth, noun
12.labyrinth," a maze; a complicated, perplexing arrangement or course of affairs. "
12.labyrinth,"Once inside the cave, the searchers were confronted with a labyrinth that defied them to find the route to the wounded explorer. "
13.malicious, adjective
13.malicious, spiteful; intentionally mischievous or harmful. 
13.malicious,The malicious man led the widow through a labyrinth of schemes to deprive her of her fortune. 
14.nomenclature, noun 
14.nomenclature, a systematic naming in an art or science. 
14.nomenclature,The nomenclature can be quickly mastered by using memory devices. 
15.obliterate, verb 
15.obliterate, to blot out leaving no traces; to destroy. 
15.obliterate,The authorities feared that the heavy rain would obliterate all signs of the escaped prisoner. 
16.Abstinence, noun 
16.Abstinence, the giving up of certain pleasures such as food or drink. 
16.Abstinence,"Myra’s abstinence from cake, candy, and ice cream led to a dramatic weight loss. "
17.Bequeath, verb 
17.Bequeath, to leave money or property by a will; to pass along. 
17.Bequeath,"The austere, old tightwad would not bequeath even one penny to charity. "
18.cacophony, noun
18.cacophony, discord; harsh sound. 
18.cacophony,"While we sought harmony, our enemies were pleased with cacophony. "
19.debilitate, verb 
19.debilitate, to weaken. 
19.debilitate,The cruel jailer starved his prisoners in order to debilitate them. 
20.eclectic, adjective 
